variable,dpto,analisis,desagregacion,año,valor
Tasa de Asistencia Educación Inicial (%),Nacional,Total,Total,2024,0.82
Tasa de Asistencia Educación Inicial (%),Nacional,Área,Rural,2024,0.82
Tasa de Asistencia Educación Inicial (%),Nacional,Área,Urbano,2024,0.82
Tasa de Asistencia Educación Inicial (%),Amazonas,Total,Total,2024,0.88
Tasa de Asistencia Educación Inicial (%),Apurímac,Total,Total,2024,0.88
Tasa de Asistencia Educación Inicial (%),Arequipa,Total,Total,2024,0.77
Tasa de Asistencia Educación Inicial (%),Ayacucho,Total,Total,2024,0.80
Tasa de Asistencia Educación Inicial (%),Cajamarca,Total,Total,2024,0.82
Tasa de Asistencia Educación Inicial (%),Callao,Total,Total,2024,0.84
Tasa de Asistencia Educación Inicial (%),Cusco,Total,Total,2024,0.84
Tasa de Asistencia Educación Inicial (%),Huancavelica,Total,Total,2024,0.83
Tasa de Asistencia Educación Inicial (%),Huánuco,Total,Total,2024,0.75
Tasa de Asistencia Educación Inicial (%),Ica,Total,Total,2024,0.89
Tasa de Asistencia Educación Inicial (%),Junín,Total,Total,2024,0.82
Tasa de Asistencia Educación Inicial (%),La Libertad,Total,Total,2024,0.79
Tasa de Asistencia Educación Inicial (%),Lambayeque,Total,Total,2024,0.82
Tasa de Asistencia Educación Inicial (%),Lima,Total,Total,2024,0.83
Tasa de Asistencia Educación Inicial (%),Loreto,Total,Total,2024,0.82
Tasa de Asistencia Educación Inicial (%),Madre de Dios,Total,Total,2024,0.79
Tasa de Asistencia Educación Inicial (%),Moquegua,Total,Total,2024,0.94
Tasa de Asistencia Educación Inicial (%),Pasco,Total,Total,2024,0.90
Tasa de Asistencia Educación Inicial (%),Piura,Total,Total,2024,0.84
Tasa de Asistencia Educación Inicial (%),Puno,Total,Total,2024,0.70
Tasa de Asistencia Educación Inicial (%),San Martín,Total,Total,2024,0.76
Tasa de Asistencia Educación Inicial (%),Tacna,Total,Total,2024,0.92
Tasa de Asistencia Educación Inicial (%),Tumbes,Total,Total,2024,0.85
Tasa de Asistencia Educación Inicial (%),Ucayali,Total,Total,2024,0.71
Tasa de Asistencia Educación Inicial (%),Áncash,Total,Total,2024,0.85
Tasa de Asistencia Educación Inicial (%),Amazonas,Área,Rural,2024,0.85
Tasa de Asistencia Educación Inicial (%),Amazonas,Área,Urbano,2024,0.92
Tasa de Asistencia Educación Inicial (%),Apurímac,Área,Rural,2024,0.90
Tasa de Asistencia Educación Inicial (%),Apurímac,Área,Urbano,2024,0.85
Tasa de Asistencia Educación Inicial (%),Arequipa,Área,Rural,2024,0.87
Tasa de Asistencia Educación Inicial (%),Arequipa,Área,Urbano,2024,0.76
Tasa de Asistencia Educación Inicial (%),Ayacucho,Área,Rural,2024,0.84
Tasa de Asistencia Educación Inicial (%),Ayacucho,Área,Urbano,2024,0.77
Tasa de Asistencia Educación Inicial (%),Cajamarca,Área,Rural,2024,0.81
Tasa de Asistencia Educación Inicial (%),Cajamarca,Área,Urbano,2024,0.83
Tasa de Asistencia Educación Inicial (%),Callao,Área,Urbano,2024,0.84
Tasa de Asistencia Educación Inicial (%),Cusco,Área,Rural,2024,0.85
Tasa de Asistencia Educación Inicial (%),Cusco,Área,Urbano,2024,0.84
Tasa de Asistencia Educación Inicial (%),Huancavelica,Área,Rural,2024,0.84
Tasa de Asistencia Educación Inicial (%),Huancavelica,Área,Urbano,2024,0.80
Tasa de Asistencia Educación Inicial (%),Huánuco,Área,Rural,2024,0.70
Tasa de Asistencia Educación Inicial (%),Huánuco,Área,Urbano,2024,0.84
